contadorasf,idHabitacion,timestampx,statusx,Habitacion
79,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
80,2,5/31/2022,Sala disponible.,Sala de examenes 2
81,12,5/31/2022,Sala disponible.,Estación de revisión 1
82,13,5/31/2022,Sala no disponible.,Estación de revisión 2
83,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
84,13,5/31/2022,Sala disponible.,Estación de revisión 2
85,3,5/31/2022,Sala no disponible.,Sala de examenes 3
86,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
87,1,5/31/2022,Sala no disponible.,Sala de examenes 1
88,12,5/31/2022,Sala no disponible.,Estación de revisión 1
89,3,5/31/2022,Sala disponible.,Sala de examenes 3
90,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
91,1,5/31/2022,Sala disponible.,Sala de examenes 1
92,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
93,12,5/31/2022,Sala disponible.,Estación de revisión 1
94,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
95,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
96,5,5/31/2022,Sala disponible.,Sala de imagenes 1
97,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
98,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
99,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
100,2,5/31/2022,Sala no disponible.,Sala de examenes 2
101,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
102,2,5/31/2022,Sala disponible.,Sala de examenes 2
103,12,5/31/2022,Sala no disponible.,Estación de revisión 1
104,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
105,12,5/31/2022,Sala disponible.,Estación de revisión 1
106,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
107,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
108,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
109,3,5/31/2022,Sala no disponible.,Sala de examenes 3
110,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
111,3,5/31/2022,Sala disponible.,Sala de examenes 3
112,1,5/31/2022,Sala no disponible.,Sala de examenes 1
113,2,5/31/2022,Sala no disponible.,Sala de examenes 2
114,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
115,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
116,2,5/31/2022,Sala disponible.,Sala de examenes 2
117,1,5/31/2022,Sala disponible.,Sala de examenes 1
118,3,5/31/2022,Sala no disponible.,Sala de examenes 3
119,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
120,3,5/31/2022,Sala disponible.,Sala de examenes 3
121,12,5/31/2022,Sala no disponible.,Estación de revisión 1
122,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
123,12,5/31/2022,Sala disponible.,Estación de revisión 1
124,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
125,4,5/31/2022,Sala no disponible.,Sala de examenes 4
126,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
127,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
128,5,5/31/2022,Sala disponible.,Sala de imagenes 1
129,4,5/31/2022,Sala disponible.,Sala de examenes 4
130,12,5/31/2022,Sala no disponible.,Estación de revisión 1
131,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
132,12,5/31/2022,Sala disponible.,Estación de revisión 1
133,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
134,1,5/31/2022,Sala no disponible.,Sala de examenes 1
135,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
136,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
137,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
138,5,5/31/2022,Sala disponible.,Sala de imagenes 1
139,1,5/31/2022,Sala disponible.,Sala de examenes 1
140,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
141,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
142,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
143,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
144,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
145,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
146,1,5/31/2022,Sala no disponible.,Sala de examenes 1
147,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
148,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
149,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
150,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
151,5,5/31/2022,Sala disponible.,Sala de imagenes 1
152,1,5/31/2022,Sala disponible.,Sala de examenes 1
153,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
154,12,5/31/2022,Sala no disponible.,Estación de revisión 1
155,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
156,12,5/31/2022,Sala disponible.,Estación de revisión 1
157,13,5/31/2022,Sala no disponible.,Estación de revisión 2
158,14,5/31/2022,Sala no disponible.,Estación de revisión 3
159,14,5/31/2022,Inicia limpieza.,Estación de revisión 3
160,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
161,12,5/31/2022,Sala no disponible.,Estación de revisión 1
162,14,5/31/2022,Sala disponible.,Estación de revisión 3
163,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
164,13,5/31/2022,Sala disponible.,Estación de revisión 2
165,12,5/31/2022,Sala disponible.,Estación de revisión 1
166,2,5/31/2022,Sala no disponible.,Sala de examenes 2
167,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
168,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
169,2,5/31/2022,Sala disponible.,Sala de examenes 2
170,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
171,1,5/31/2022,Sala no disponible.,Sala de examenes 1
172,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
173,5,5/31/2022,Sala disponible.,Sala de imagenes 1
174,1,5/31/2022,Sala disponible.,Sala de examenes 1
175,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
176,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
177,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
178,4,5/31/2022,Sala no disponible.,Sala de examenes 4
179,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
180,12,5/31/2022,Sala no disponible.,Estación de revisión 1
181,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
182,4,5/31/2022,Sala disponible.,Sala de examenes 4
183,12,5/31/2022,Sala disponible.,Estación de revisión 1
184,3,5/31/2022,Sala no disponible.,Sala de examenes 3
185,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
186,3,5/31/2022,Sala disponible.,Sala de examenes 3
187,13,5/31/2022,Sala no disponible.,Estación de revisión 2
188,12,5/31/2022,Sala no disponible.,Estación de revisión 1
189,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
190,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
191,12,5/31/2022,Sala disponible.,Estación de revisión 1
192,13,5/31/2022,Sala disponible.,Estación de revisión 2
193,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
194,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
195,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
196,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
197,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
198,5,5/31/2022,Sala disponible.,Sala de imagenes 1
199,12,5/31/2022,Sala no disponible.,Estación de revisión 1
200,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
201,12,5/31/2022,Sala disponible.,Estación de revisión 1
202,12,5/31/2022,Sala no disponible.,Estación de revisión 1
203,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
204,12,5/31/2022,Sala disponible.,Estación de revisión 1
205,2,5/31/2022,Sala no disponible.,Sala de examenes 2
206,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
207,1,5/31/2022,Sala no disponible.,Sala de examenes 1
208,12,5/31/2022,Sala no disponible.,Estación de revisión 1
209,2,5/31/2022,Sala disponible.,Sala de examenes 2
210,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
211,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
212,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
213,12,5/31/2022,Sala disponible.,Estación de revisión 1
214,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
215,1,5/31/2022,Sala disponible.,Sala de examenes 1
216,5,5/31/2022,Sala disponible.,Sala de imagenes 1
217,3,5/31/2022,Sala no disponible.,Sala de examenes 3
218,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
219,3,5/31/2022,Sala disponible.,Sala de examenes 3
220,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
221,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
222,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
223,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
224,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
225,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
226,9,5/31/2022,Sala no disponible.,Sala de procedimientos 4
227,9,5/31/2022,Inicia limpieza.,Sala de procedimientos 4
228,9,5/31/2022,Sala disponible.,Sala de procedimientos 4
229,13,5/31/2022,Sala no disponible.,Estación de revisión 2
230,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
231,13,5/31/2022,Sala disponible.,Estación de revisión 2
232,12,5/31/2022,Sala no disponible.,Estación de revisión 1
233,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
234,12,5/31/2022,Sala disponible.,Estación de revisión 1
235,14,5/31/2022,Sala no disponible.,Estación de revisión 3
236,14,5/31/2022,Inicia limpieza.,Estación de revisión 3
237,14,5/31/2022,Sala disponible.,Estación de revisión 3
238,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
239,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
240,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
241,1,5/31/2022,Sala no disponible.,Sala de examenes 1
242,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
243,2,5/31/2022,Sala no disponible.,Sala de examenes 2
244,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
245,1,5/31/2022,Sala disponible.,Sala de examenes 1
246,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
247,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
248,2,5/31/2022,Sala disponible.,Sala de examenes 2
249,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
250,12,5/31/2022,Sala no disponible.,Estación de revisión 1
251,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
252,12,5/31/2022,Sala disponible.,Estación de revisión 1
253,13,5/31/2022,Sala no disponible.,Estación de revisión 2
254,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
255,13,5/31/2022,Sala disponible.,Estación de revisión 2
256,12,5/31/2022,Sala no disponible.,Estación de revisión 1
257,1,5/31/2022,Sala no disponible.,Sala de examenes 1
258,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
259,2,5/31/2022,Sala no disponible.,Sala de examenes 2
260,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
261,1,5/31/2022,Sala disponible.,Sala de examenes 1
262,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
263,12,5/31/2022,Sala disponible.,Estación de revisión 1
264,2,5/31/2022,Sala disponible.,Sala de examenes 2
265,3,5/31/2022,Sala no disponible.,Sala de examenes 3
266,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
267,3,5/31/2022,Sala disponible.,Sala de examenes 3
268,4,5/31/2022,Sala no disponible.,Sala de examenes 4
269,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
270,4,5/31/2022,Sala disponible.,Sala de examenes 4
271,12,5/31/2022,Sala no disponible.,Estación de revisión 1
272,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
273,12,5/31/2022,Sala disponible.,Estación de revisión 1
274,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
275,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
276,5,5/31/2022,Sala disponible.,Sala de imagenes 1
277,3,5/31/2022,Sala no disponible.,Sala de examenes 3
278,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
279,3,5/31/2022,Sala disponible.,Sala de examenes 3
280,2,5/31/2022,Sala no disponible.,Sala de examenes 2
281,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
282,1,5/31/2022,Sala no disponible.,Sala de examenes 1
283,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
284,2,5/31/2022,Sala disponible.,Sala de examenes 2
285,1,5/31/2022,Sala disponible.,Sala de examenes 1
286,12,5/31/2022,Sala no disponible.,Estación de revisión 1
287,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
288,12,5/31/2022,Sala disponible.,Estación de revisión 1
289,4,5/31/2022,Sala no disponible.,Sala de examenes 4
290,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
291,4,5/31/2022,Sala disponible.,Sala de examenes 4
292,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
293,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
294,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
295,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
296,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
297,12,5/31/2022,Sala no disponible.,Estación de revisión 1
298,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
299,12,5/31/2022,Sala disponible.,Estación de revisión 1
300,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
301,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
302,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
303,13,5/31/2022,Sala no disponible.,Estación de revisión 2
304,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
305,13,5/31/2022,Sala disponible.,Estación de revisión 2
306,12,5/31/2022,Sala no disponible.,Estación de revisión 1
307,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
308,12,5/31/2022,Sala disponible.,Estación de revisión 1
309,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
310,12,5/31/2022,Sala no disponible.,Estación de revisión 1
311,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
312,13,5/31/2022,Sala no disponible.,Estación de revisión 2
313,12,5/31/2022,Sala disponible.,Estación de revisión 1
314,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
315,13,5/31/2022,Sala disponible.,Estación de revisión 2
316,14,5/31/2022,Sala no disponible.,Estación de revisión 3
317,14,5/31/2022,Inicia limpieza.,Estación de revisión 3
318,14,5/31/2022,Sala disponible.,Estación de revisión 3
319,1,5/31/2022,Sala no disponible.,Sala de examenes 1
320,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
321,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
322,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
323,1,5/31/2022,Sala disponible.,Sala de examenes 1
324,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
325,12,5/31/2022,Sala no disponible.,Estación de revisión 1
326,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
327,3,5/31/2022,Sala no disponible.,Sala de examenes 3
328,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
329,2,5/31/2022,Sala no disponible.,Sala de examenes 2
330,12,5/31/2022,Sala disponible.,Estación de revisión 1
331,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
332,3,5/31/2022,Sala disponible.,Sala de examenes 3
333,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
334,12,5/31/2022,Sala no disponible.,Estación de revisión 1
335,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
336,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
337,2,5/31/2022,Sala disponible.,Sala de examenes 2
338,13,5/31/2022,Sala no disponible.,Estación de revisión 2
339,12,5/31/2022,Sala disponible.,Estación de revisión 1
340,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
341,13,5/31/2022,Sala disponible.,Estación de revisión 2
342,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
343,12,5/31/2022,Sala no disponible.,Estación de revisión 1
344,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
345,12,5/31/2022,Sala disponible.,Estación de revisión 1
346,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
347,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
348,13,5/31/2022,Sala no disponible.,Estación de revisión 2
349,5,5/31/2022,Sala disponible.,Sala de imagenes 1
350,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
351,2,5/31/2022,Sala no disponible.,Sala de examenes 2
352,1,5/31/2022,Sala no disponible.,Sala de examenes 1
353,13,5/31/2022,Sala disponible.,Estación de revisión 2
354,12,5/31/2022,Sala no disponible.,Estación de revisión 1
355,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
356,3,5/31/2022,Sala no disponible.,Sala de examenes 3
357,2,5/31/2022,Sala disponible.,Sala de examenes 2
358,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
359,1,5/31/2022,Sala disponible.,Sala de examenes 1
360,14,5/31/2022,Sala no disponible.,Estación de revisión 3
361,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
362,3,5/31/2022,Sala disponible.,Sala de examenes 3
363,14,5/31/2022,Inicia limpieza.,Estación de revisión 3
364,14,5/31/2022,Sala disponible.,Estación de revisión 3
365,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
366,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
367,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
368,4,5/31/2022,Sala no disponible.,Sala de examenes 4
369,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
370,5,5/31/2022,Sala disponible.,Sala de imagenes 1
371,8,5/31/2022,Sala no disponible.,Sala de procedimientos 3
372,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
373,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
374,8,5/31/2022,Inicia limpieza.,Sala de procedimientos 3
375,4,5/31/2022,Sala disponible.,Sala de examenes 4
376,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
377,13,5/31/2022,Sala no disponible.,Estación de revisión 2
378,12,5/31/2022,Sala disponible.,Estación de revisión 1
379,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
380,13,5/31/2022,Sala disponible.,Estación de revisión 2
381,2,5/31/2022,Sala no disponible.,Sala de examenes 2
382,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
383,8,5/31/2022,Sala disponible.,Sala de procedimientos 3
384,1,5/31/2022,Sala no disponible.,Sala de examenes 1
385,2,5/31/2022,Sala disponible.,Sala de examenes 2
386,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
387,12,5/31/2022,Sala no disponible.,Estación de revisión 1
388,3,5/31/2022,Sala no disponible.,Sala de examenes 3
389,1,5/31/2022,Sala disponible.,Sala de examenes 1
390,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
391,12,5/31/2022,Sala disponible.,Estación de revisión 1
392,3,5/31/2022,Inicia limpieza.,Sala de examenes 3
393,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
394,3,5/31/2022,Sala disponible.,Sala de examenes 3
395,13,5/31/2022,Sala no disponible.,Estación de revisión 2
396,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
397,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
398,13,5/31/2022,Sala disponible.,Estación de revisión 2
399,5,5/31/2022,Sala disponible.,Sala de imagenes 1
400,4,5/31/2022,Sala no disponible.,Sala de examenes 4
401,9,5/31/2022,Sala no disponible.,Sala de procedimientos 4
402,4,5/31/2022,Inicia limpieza.,Sala de examenes 4
403,4,5/31/2022,Sala disponible.,Sala de examenes 4
404,9,5/31/2022,Inicia limpieza.,Sala de procedimientos 4
405,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
406,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
407,9,5/31/2022,Sala disponible.,Sala de procedimientos 4
408,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
409,2,5/31/2022,Sala no disponible.,Sala de examenes 2
410,2,5/31/2022,Inicia limpieza.,Sala de examenes 2
411,2,5/31/2022,Sala disponible.,Sala de examenes 2
412,1,5/31/2022,Sala no disponible.,Sala de examenes 1
413,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
414,1,5/31/2022,Sala disponible.,Sala de examenes 1
415,12,5/31/2022,Sala no disponible.,Estación de revisión 1
416,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
417,12,5/31/2022,Sala disponible.,Estación de revisión 1
418,7,5/31/2022,Sala no disponible.,Sala de procedimientos 2
419,12,5/31/2022,Sala no disponible.,Estación de revisión 1
420,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
421,7,5/31/2022,Inicia limpieza.,Sala de procedimientos 2
422,12,5/31/2022,Sala disponible.,Estación de revisión 1
423,13,5/31/2022,Sala no disponible.,Estación de revisión 2
424,5,5/31/2022,Sala no disponible.,Sala de imagenes 1
425,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
426,14,5/31/2022,Sala no disponible.,Estación de revisión 3
427,14,5/31/2022,Inicia limpieza.,Estación de revisión 3
428,13,5/31/2022,Sala disponible.,Estación de revisión 2
429,5,5/31/2022,Inicia limpieza.,Sala de imagenes 1
430,14,5/31/2022,Sala disponible.,Estación de revisión 3
431,5,5/31/2022,Sala disponible.,Sala de imagenes 1
432,7,5/31/2022,Sala disponible.,Sala de procedimientos 2
433,12,5/31/2022,Sala no disponible.,Estación de revisión 1
434,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
435,12,5/31/2022,Sala disponible.,Estación de revisión 1
436,12,5/31/2022,Sala no disponible.,Estación de revisión 1
437,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
438,12,5/31/2022,Sala disponible.,Estación de revisión 1
439,1,5/31/2022,Sala no disponible.,Sala de examenes 1
440,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
441,6,5/31/2022,Sala no disponible.,Sala de procedimientos 1
442,6,5/31/2022,Inicia limpieza.,Sala de procedimientos 1
443,1,5/31/2022,Sala disponible.,Sala de examenes 1
444,6,5/31/2022,Sala disponible.,Sala de procedimientos 1
445,12,5/31/2022,Sala no disponible.,Estación de revisión 1
446,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
447,12,5/31/2022,Sala disponible.,Estación de revisión 1
448,13,5/31/2022,Sala no disponible.,Estación de revisión 2
449,13,5/31/2022,Inicia limpieza.,Estación de revisión 2
450,13,5/31/2022,Sala disponible.,Estación de revisión 2
451,12,5/31/2022,Sala no disponible.,Estación de revisión 1
452,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
453,12,5/31/2022,Sala disponible.,Estación de revisión 1
454,12,5/31/2022,Sala no disponible.,Estación de revisión 1
455,12,5/31/2022,Inicia limpieza.,Estación de revisión 1
456,12,5/31/2022,Sala disponible.,Estación de revisión 1
457,1,5/31/2022,Sala no disponible.,Sala de examenes 1
458,1,5/31/2022,Inicia limpieza.,Sala de examenes 1
